geocode	commune	pop_natio_dens_2015	pop_natio_part_etr_2015	pop_natio_part_natifs_2010	pop_natio_pop_31_12_2015	pop_age_taux_dep_2015	pop_age_ind_fecond_2015	pop_evol_taux_1950_2000	pop_evol_taux_2000_2010	pop_mouv_tx_natur_2010	envir_tx_dechet_2010	agricult_part_sau_2010	loge_vac_tx_vac_2015	transports_tx_vehic_2014	sante_divers_tx_hospit_2014	infraction_tx_code_2015
5861	Rolle	2207	44.9	3.3	6047	72.7	0.58	0.84	3.4	1.62	528	43	0	649	134	70.9
5862	Tartegnin	211	23.9	1.8	230	64.3	0.45	0.56	2.02	0	531	96.1	0.88	746	0	92.1
5863	Vinzel	320	17.2	0.9	349	60.1	0.6	1.93	2.21	2.47	405	146	0	671	0	17.1
5871	L'Abbaye	44.6	14.2	4.6	1423	66.2	0.64	0.17	0.43	0.57	490	9.3	1.16	622	180	47.6
5872	Le Chenit	46.5	27.4	29.4	4614	74.4	0.55	-0.21	0.35	1.53	468	8.8	0	574	172	65.3
5873	Le Lieu	26.4	16.1	6.3	859	75.3	0.49	-0.48	0.87	2.78	459	13	1.1	584	137	39.5
5881	Blonay	381	24.1	1.8	6132	77.1	0.6	2.52	2.06	2.3	539	12.6	1.79	583	119	31.4
5882	Chardonne	280	24.1	1.8	2889	66.5	0.6	1.61	0.47	1.63	513	41.1	2.34	594	129	39.4
5883	Corseaux	2049	25.4	0.8	2172	77.6	0.44	1.07	0.26	1.01	547	31.6	1.69	657	169	49.3
5884	Corsier-sur-Vevey	508	34.1	1.3	3427	66.9	0.53	1.41	0.36	0.74	494	38	0.53	492	149	49.3
5885	Jongny	691	25.5	1.1	1493	75.9	0.59	2.79	1.09	1.76	567	66.9	1.89	599	135	23.1
5886	Montreux	788	47	7.7	26283	65.7	0.44	0.51	1.29	1.19	545	14.3	1.03	437	148	102
5888	St-Légier-La Chiésaz	334	24.9	0.8	5071	77.3	0.52	2.11	2.22	0.95	536	20.2	0.19	600	104	53.3
5889	La Tour-de-Peilz	3525	29.4	1.2	11421	73.9	0.49	1.4	0.62	2.28	479	25.9	0.32	465	152	72.6
5890	Vevey	8074	42.9	24.3	19217	54.8	0.44	0.14	1.72	2.43	542	4.7	0.59	397	168	118
5891	Veytaux	126	30.1	1.1	854	55.3	0.42	0.33	-0.16	2.15	583	0	5.49	544	0	243
5902	Belmont-sur-Yverdon	57	16.5	4.8	369	59.7	0.83	-0.19	1.66	0	253	62	4.17	628	171	22.3
5903	Bioley-Magnoux	47.1	4.5	7.8	201	68.9	0.86	-0.14	-0.47	0	419	53.8	0	694	0	15.3
5904	Chamblon	199	13.2	0.5	568	46	0.53	1.56	1.46	5.71	346	29.4	0	573	0	54.2
5905	Champvent	68.3	14.7	2.2	617	66.8	0.74	-0.06	2.38	0	265	79.9	0	600	116	20
5907	Chavannes-le-Chêne	69.8	5.4	10.3	278	68.5	0.5	-0.21	0.74	4.55	249	54.7	0	679	161	7.3
5908	Chêne-Pâquier	59	4	6.9	125	81.2	1	-0.7	1.09	0	696	59.7	0	614	0	7.6
5909	Cheseaux-Noréaz	110	12.5	0.5	664	80.4	0.52	3.28	1.62	1.82	408	28.5	0	569	0	46.8
5910	Cronay	55.2	7.4	4.5	364	55.6	0.61	-0.11	0.38	0	450	59.5	0.61	622	160	25.6
5911	Cuarny	47.3	7.4	1.8	216	52.1	0.71	-0.23	-0.4	0	260	63.7	1.01	828	107	24.5
5912	Démoret	28.8	7.3	7.8	123	39.8	0.5	-0.42	-0.23	14.3	457	82.3	0	691	0	0
5913	Donneloye	85	9.8	2.8	765	65.6	0.55	0.31	1.36	0	356	71.7	0	637	196	8.2
5914	Ependes	71.4	15.4	2.8	345	65.1	0.54	0.21	0.22	0	455	51.7	0	605	115	87.5
5915	Essert-Pittet	59.4	19.5	0	164	69.1	0.77	-0.3	0.85	0	401	54.1	0	623	93	80
5919	Mathod	88.2	12.2	2.5	581	60.1	0.56	0.37	1.88	5.66	233	83.9	0	585	125	23.6
5921	Molondin	40.8	16.1	10	224	75	1.17	-0.55	0.96	0	339	53	0	667	317	21.9
5922	Montagny-près-Yverdon	203	13.7	1.3	713	62.8	0.38	1.13	1.65	4.3	382	60.3	0	1266	108	245
5923	Oppens	50.7	26.4	1.8	182	46.8	0.61	0.22	0.3	0	433	70.9	2.35	710	125	50.8
5924	Orges	68.4	14.5	3.4	275	53.6	0.74	-0.1	2.57	0	178	72.6	1.54	686	181	14.5
5925	Orzens	50.2	9.5	5.6	211	71.5	0.67	-0.2	0.25	0	512	51.9	0	690	152	25.3
5926	Pomy	130	10.3	3	730	72.2	0.61	0.31	2.57	0	319	101	0	567	143	44.8
5928	Rovray	55	7.4	4.2	176	72.5	0.78	-0.23	1.04	0	321	103	0	552	106	18.3
5929	Suchy	81.4	14	2.1	542	61.8	0.58	0.12	2.27	0	294	61.2	0.44	606	144	17.1
5930	Suscévaz	48	11.1	2.8	199	76.1	0.71	-0.07	0.56	11.1	443	70.5	0	588	168	25.1
5931	Treycovagnes	222	13.9	1.3	462	47.1	0.56	1.75	-0.13	0	285	44.8	0.52	671	233	42.3
5932	Ursins	61.8	12.6	2	207	61.7	0.83	-0.12	1.91	0	264	70.2	0	625	0	9.6
5933	Valeyres-sous-Montagny	290	14.2	0.9	661	63.6	0.59	2.32	2.06	4.35	254	66.7	0	634	119	54.6
5934	Valeyres-sous-Ursins	85.1	6.1	3.9	245	76.3	0.89	0.25	2.41	0	277	90.6	0	544	250	12.4
5935	Villars-Epeney	105	6.7	5.1	90	38.5	ND	-0.04	4.62	0	323	91.7	5.41	708	0	11.2
5937	Vugelles-La Mothe	44	14.8	3.3	135	66.7	0.67	-0.92	1.94	0	209	34.7	0	599	474	51.1
5938	Yverdon-les-Bains	2168	37	26	29308	63.9	0.53	1.25	1.62	3.33	513	55	0.42	486	165	100
5939	Yvonand	235	14.5	4.7	3152	66.7	0.58	1.06	1.27	0.78	358	39.1	0.58	547	155	70.6
